Date,CLI,BTC_63d_Ret,BTC_Price
2018-02-20,0.3304916372490747,-44.39506858394435,11403.7001953125
2018-02-21,0.3558726810524161,-44.15373235807793,10690.400390625
2018-02-22,0.38111040068401725,-45.710852417739076,10005.0
2018-02-23,0.3778775391591727,-29.471962720183942,10301.099609375
2018-02-24,0.3765706334421894,-40.40778813836784,9813.0703125
2018-02-25,0.3754044529421178,-36.52599958460957,9664.73046875
2018-02-26,0.3771502065831709,-30.23567342630994,10366.7001953125
2018-02-27,0.3776827848538473,-40.61734665363089,10725.599609375
2018-02-28,0.4267161226958016,-42.08397846836658,10397.900390625
2018-03-01,0.004323782833102058,-28.803585882556582,10951.0
2018-03-02,-0.006412824829269914,-27.914430032755472,11086.400390625
2018-03-03,-0.007198154153847752,-11.981467410808651,11489.7001953125
2018-03-04,-0.007958097024679783,-20.672479242306167,11512.599609375
2018-03-05,0.12572700687420385,-16.556616533534076,11573.2998046875
2018-03-06,0.13727482070199656,-32.91728038705158,10779.900390625
2018-03-07,0.09094634159608306,-42.22250315743262,9965.5703125
2018-03-08,0.0814500864695532,-50.704097109585064,9395.009765625
2018-03-09,0.09236786110900588,-62.41202886671569,9337.5498046875
2018-03-10,0.09153402406041664,-68.15188127681773,8866.0
2018-03-11,0.09095069356417554,-54.246729584261985,9578.6298828125
2018-03-12,0.10398872979030632,-49.95664958228405,9205.1201171875
2018-03-13,0.11035422714855583,-46.20629351137055,9194.849609375
2018-03-14,0.0867856664480231,-59.36571197696326,8269.8095703125
2018-03-15,0.06671713915451194,-47.932826831679044,8300.8603515625
2018-03-16,0.054607734749810205,-51.68053181751446,8338.349609375
2018-03-17,0.05401866258385141,-59.54633306849968,7916.8798828125
2018-03-18,0.05349492413649615,-51.56197860263584,8223.6796875
2018-03-19,0.051842096254992226,-47.07824661468895,8630.650390625
2018-03-20,0.044530641257531395,-25.395702196886454,8913.4697265625
2018-03-21,0.0260409660331771,-22.55595727162878,8929.2802734375
2018-03-22,0.04110443343389797,-27.357200992033903,8728.4697265625
2018-03-23,0.027843198607148845,-26.788408291539128,8879.6201171875
2018-03-24,0.027308830529070793,-39.75133679605038,8668.1201171875
2018-03-25,0.026822153132909782,-31.144408327973384,8495.7802734375
2018-03-26,0.04694839027539227,-28.635953078317332,8209.400390625
2018-03-27,0.02429432929689887,-32.75088421688859,7833.0400390625
2018-03-28,0.04649289793001396,-35.63103398800172,7954.47998046875
2018-03-29,0.03652072493419739,-45.18975891134689,7165.7001953125
2018-03-30,0.040577301756539536,-48.321041920410046,6890.52001953125
2018-03-31,0.04023821604340641,-49.50556679632845,6973.52978515625
2018-04-01,-0.4101066708215888,-54.35318647591087,6844.22998046875
2018-04-02,-0.41759679555231144,-46.66736661550159,7083.7998046875
2018-04-03,-0.40967205286152986,-30.412516028186953,7456.10986328125
2018-04-04,-0.4433141284425095,-39.96451165102429,6853.83984375
2018-04-05,-0.5602518972109043,-29.738818903181997,6811.47021484375
2018-04-06,-0.5723709093813563,-28.56823822230334,6636.31982421875
2018-04-07,-0.571972766150922,-28.334525652507875,6911.08984375
2018-04-08,-0.571687211456541,-16.42172441046327,7023.52001953125
2018-04-09,-0.5659144421498608,-2.6890741539838956,6770.72998046875
2018-04-10,-0.5586589535495012,-12.618751736791497,6834.759765625
2018-04-11,-0.5430570721701646,-8.9572795699781,6968.31982421875
2018-04-12,-0.5457152653283321,-4.66000218760982,7889.25
2018-04-13,-0.5281161127050744,-10.121341453427227,7895.9599609375
2018-04-14,-0.5278167607721191,-7.65854331979058,7986.240234375
2018-04-15,-0.5274914043223407,2.419939000030133,8329.1103515625
2018-04-16,-0.5178023833246537,-10.228373676626589,8058.669921875
2018-04-17,-0.5158469953931246,-8.443836067440259,7902.08984375
2018-04-18,-0.492885740688267,-15.10631740369736,8163.419921875
2018-04-19,-0.5131852564866124,-20.351851777889777,8294.3095703125
2018-04-20,-0.5412494440081534,-14.575960678667865,8845.830078125
2018-04-21,-0.5409633788755458,-22.253408305802928,8895.580078125
2018-04-22,-0.5406645884960108,-18.12652195371955,8802.4599609375
2018-04-23,-0.5652775117719211,-22.865522078521913,8930.8798828125
2018-04-24,-0.5462819762051583,-16.206976094043213,9697.5
2018-04-25,-0.5848753151146387,-18.941016533002536,8845.740234375
2018-04-26,-0.5947395663776583,-7.506074420889918,9281.509765625
2018-04-27,-0.5920464245983796,-13.646601720913376,8987.0498046875
2018-04-28,-0.5916831453744638,-4.850138905658094,9348.48046875
2018-04-29,-0.5913231769684923,-2.574579735057854,9419.080078125
2018-04-30,-0.607571218932718,-11.49973782311806,9240.5498046875
2018-05-01,-0.975202240133922,-16.22721510247465,9119.009765625
2018-05-02,-0.9860919437568858,-11.850367901129966,9235.919921875
2018-05-03,-0.660291740389908,-11.679339716497859,9743.8603515625
2018-05-04,-0.677073260437181,-13.351495833051027,9700.759765625
2018-05-05,-0.6765552491378009,-15.31524349979834,9858.150390625
2018-05-06,-0.6760896447754792,-17.598687304339293,9654.7998046875
2018-05-07,-0.692947245612942,-21.08664464066896,9373.009765625
2018-05-08,-0.7132532563870762,-15.470216900242646,9234.8203125
2018-05-09,-0.6943232882968422,-6.641794880633363,9325.1796875
2018-05-10,-0.6780359313057284,-3.8083704641893106,9043.9404296875
2018-05-11,-0.6848838374452355,-10.08850232045813,8441.490234375
2018-05-12,-0.6843570914090954,-4.158248546368004,8504.8896484375
2018-05-13,-0.6837965466537481,-9.346354326861238,8723.9404296875
2018-05-14,-0.6877379407932211,-5.45088083604225,8716.7900390625
